urls,original_index,resolved_url,http_status,datetime_utc,fetch_error,path,mimetype,encoding,body_size
https://www.governo.it/it/articolo/riunione-del-cipess-del-21-marzo-2024/25306,1494,https://www.governo.it/it/articolo/riunione-del-cipess-del-21-marzo-2024/25306,200,2025-11-01T18:20:05.117473,,d054d67ee94e0e6409003b72f988947a.html,text/html,utf-8,44257
https://www.governo.it/it/articolo/il-presidente-meloni-incontra-il-presidente-della-regione-umbria-proietti/27454,1246,https://www.governo.it/it/articolo/il-presidente-meloni-incontra-il-presidente-della-regione-umbria-proietti/27454,200,2025-11-01T18:20:06.686665,,c5be29b339c8081447be28ee227306c0.html,text/html,utf-8,41640
https://www.governo.it/it/articolo/volo-diretto-ita-roma-tripoli-nota-di-palazzo-chigi/23269,1740,https://www.governo.it/it/articolo/volo-diretto-ita-roma-tripoli-nota-di-palazzo-chigi/23269,200,2025-11-01T18:20:08.275658,,e2ba0370c273cc795f9e4c6d84a17d27.html,text/html,utf-8,41488
https://www.governo.it/it/articolo/colloquio-telefonico-meloni-netanyahu/22667,1753,https://www.governo.it/it/articolo/colloquio-telefonico-meloni-netanyahu/22667,200,2025-11-01T18:20:09.814970,,0368ee1ad962cccd1e7e5274cb6a4173.html,text/html,utf-8,41169
https://www.governo.it/it/articolo/visita-nella-repubblica-federale-democratica-di-etiopia/29340,1412,https://www.governo.it/it/articolo/visita-nella-repubblica-federale-democratica-di-etiopia/29340,200,2025-11-01T18:20:11.753625,,f2c1ec26fe205867172d22884389aa56.html,text/html,utf-8,44536
https://www.governo.it/it/articolo/dal-governo-emendamenti-su-housing-universitario-e-parit-di-genere-negli-appalti-pubblici,1555,https://www.governo.it/it/articolo/dal-governo-emendamenti-su-housing-universitario-e-parit-di-genere-negli-appalti-pubblici,200,2025-11-01T18:20:13.323460,,bfc7b8da9d42f2a418cfa8cd67c9417d.html,text/html,utf-8,43109
https://www.governo.it/it/articolo/giorno-della-libert-il-videomessaggio-del-presidente-giorgia-meloni/20958,1196,https://www.governo.it/it/articolo/giorno-della-libert-il-videomessaggio-del-presidente-giorgia-meloni/20958,200,2025-11-01T18:20:14.913984,,546ce21feba17b2516d48a5f3b7447f9.html,text/html,utf-8,41303
https://www.governo.it/it/articolo/convocazione-del-consiglio-dei-ministri-n-55/24019,1120,https://www.governo.it/it/articolo/convocazione-del-consiglio-dei-ministri-n-55/24019,200,2025-11-01T18:20:16.535340,,c87ba9a30fb461b2f8a35f23f4f3eed9.html,text/html,utf-8,41897
https://www.governo.it/it/articolo/convocazione-del-consiglio-dei-ministri-n-118/27942,1635,https://www.governo.it/it/articolo/convocazione-del-consiglio-dei-ministri-n-118/27942,200,2025-11-01T18:20:18.117996,,65ffa59b85020b70d26fc3303abf8adc.html,text/html,utf-8,42289
https://www.governo.it/it/articolo/consiglio-dei-ministri-n-74/25279,1694,https://www.governo.it/it/articolo/consiglio-dei-ministri-n-74/25279,200,2025-11-01T18:20:19.661514,,9ca00ceea451454d7ae9167779abfde8.html,text/html,utf-8,40212
https://www.governo.it/it/articolo/ex-ilva-di-taranto-tavolo-di-confronto-governo-confederazioni-sindacali/24629,1507,https://www.governo.it/it/articolo/ex-ilva-di-taranto-tavolo-di-confronto-governo-confederazioni-sindacali/24629,200,2025-11-01T18:20:21.284918,,e71e4dbfa627040379bbe18a8b024def.html,text/html,utf-8,41828
https://www.governo.it/it/articolo/washington-il-presidente-meloni-incontra-henry-kissinger/23345,939,https://www.governo.it/it/articolo/washington-il-presidente-meloni-incontra-henry-kissinger/23345,200,2025-11-01T18:20:22.834066,,50a6c36bc2af109208a9ed71fb712dd5.html,text/html,utf-8,42122
https://www.governo.it/it/articolo/apertura-dei-negoziati-di-adesione-con-la-bosnia-erzegovina-nota-di-palazzo-chigi/25308,1294,https://www.governo.it/it/articolo/apertura-dei-negoziati-di-adesione-con-la-bosnia-erzegovina-nota-di-palazzo-chigi/25308,200,2025-11-01T18:20:24.370553,,41eac6a5556d516a0d94c3b9871e8a90.html,text/html,utf-8,42197
https://www.governo.it/it/articolo/comunicazioni-del-presidente-meloni-alla-camera-dei-deputati-vista-del-consiglio-europeo,1450,https://www.governo.it/it/articolo/comunicazioni-del-presidente-meloni-alla-camera-dei-deputati-vista-del-consiglio-europeo,200,2025-11-01T18:20:25.956376,,dc7ae7194d3391bdab4434e17924ff06.html,text/html,utf-8,43651
https://www.governo.it/it/articolo/incontro-con-il-presidente-degli-emirati-arabi-uniti/27727,1639,https://www.governo.it/it/articolo/incontro-con-il-presidente-degli-emirati-arabi-uniti/27727,200,2025-11-01T18:20:27.176573,,0b5f74967a7f768757eef07a0d4ca120.html,text/html,utf-8,44980
https://www.governo.it/it/articolo/elezione-del-sindaco-manfredi-presidente-dellanci-le-congratulazioni-del-presidente-meloni,856,https://www.governo.it/it/articolo/elezione-del-sindaco-manfredi-presidente-dellanci-le-congratulazioni-del-presidente-meloni,200,2025-11-01T18:20:28.772665,,8eae48e79cd03bf9ea63e639dd72bc0d.html,text/html,utf-8,42296
https://www.governo.it/it/articolo/il-presidente-meloni-al-vertice-g7/22629,954,https://www.governo.it/it/articolo/il-presidente-meloni-al-vertice-g7/22629,200,2025-11-01T18:20:30.452324,,3e189a2e91c3ef69710341569d5a337c.html,text/html,utf-8,44033
https://www.governo.it/it/articolo/partecipazione-al-summit-democracy-2023/22218,1164,https://www.governo.it/it/articolo/partecipazione-al-summit-democracy-2023/22218,200,2025-11-01T18:20:32.025428,,8ca7638d183da19ac19bb4c113a6d28d.html,text/html,utf-8,40673
https://www.governo.it/it/articolo/cabina-di-regia-pnrr-la-verifica-del-conseguimento-dei-37-obiettivi-connessi-alla-sesta,1281,https://www.governo.it/it/articolo/cabina-di-regia-pnrr-la-verifica-del-conseguimento-dei-37-obiettivi-connessi-alla-sesta,200,2025-11-01T18:20:33.594754,,e36fd75e801581451b8698dda27ce5d5.html,text/html,utf-8,48179
https://www.governo.it/it/articolo/convocazione-del-consiglio-dei-ministri-n-75/25335,1493,https://www.governo.it/it/articolo/convocazione-del-consiglio-dei-ministri-n-75/25335,200,2025-11-01T18:20:35.178686,,9ff7c0acc873996df9582f0fd910f133.html,text/html,utf-8,40902
https://www.governo.it/it/articolo/riunione-del-cipess-del-23-aprile-2024/25494,1090,https://www.governo.it/it/articolo/riunione-del-cipess-del-23-aprile-2024/25494,200,2025-11-01T18:20:36.757454,,e4f0a04fc3237ca2f6f56e1ed75b472d.html,text/html,utf-8,41724
https://www.governo.it/it/articolo/comunicazioni-vista-del-consiglio-europeo-del-20-21-marzo-il-presidente-meloni-alla-camera,1234,https://www.governo.it/it/articolo/comunicazioni-vista-del-consiglio-europeo-del-20-21-marzo-il-presidente-meloni-alla-camera,200,2025-11-01T18:20:38.335643,,787b416736af41ea20f8fe114fa4efc2.html,text/html,utf-8,43436
